product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
37830778,Nutriplus Nutricoffee Hindiba Kahve 100 gr,2399,Türk Kahvesi,Türk Kahvesi,100172,Cilt Bakım,UNKNOWN,8.511524999999999,2021-02-14 14:40:14,2021-02-14 14:40:14
39240736,Şeker Peelingi Besleyici – Kakao Yağı Gr5854252,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,20.2901,2021-02-19 21:00:18,2021-02-19 21:00:18
75601021,Çilek Aromalı El Peeling,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,11.658209999999999,2021-02-16 12:00:19,2021-02-16 12:00:19
394820,Mud Mask 75ml,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,29.461913,2021-02-18 09:43:55,2021-02-18 09:43:55
3777498,Procsın Yumurta Maskesi 100 ml,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,30.6071,2021-02-18 11:40:16,2021-02-18 11:40:16
2181263,Yaşlanma Karşıtı Peeling - Revitalizing Supreme + Peeling 75 ml 887167314740,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,126.52080999999998,2021-02-15 09:22:17,2021-02-15 09:22:17
70607586,Aktif Kömür Tüm Cilt Tipleri 2*8 ml Arındırıcı Maske,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,1.716061,2021-02-15 21:20:13,2021-02-15 21:20:13
61521257,Kömürlü Bakım Seti Saf Ve Temiz Kömür Peeling Ve Siyah Kağıt Maske Seti,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,17.16061,2021-02-16 08:40:21,2021-02-16 08:40:21
79518694,Mavi Kantaron Kil Maskesi 100 Ml (kırışıklık Karşıtı),614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,19.22401,2021-02-17 11:00:15,2021-02-17 11:00:15
3564163,Tek Kullanımlık Yüz Maskesi Propilis&Bee Venom 18 ml 8809427862251,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,6.499709999999999,2021-02-19 13:02:18,2021-02-19 13:02:18
35445924,Oxygen Yüz Maskesi Aloevera,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,6.878,2021-02-14 14:40:14,2021-02-14 14:40:14
42654083,Hyaluronic Asit Cilt Bakım Maskesi,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,4.8145999999999995,2021-02-18 16:21:30,2021-02-18 16:21:30
34077111,Soyulabilir Siyah Cilt Maskesi Pompalı 250 Ml X 3 Adet,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,17.023049999999998,2021-02-15 13:41:18,2021-02-15 13:41:18
44583998,Kayısılı Peeling Etkili Hassas Yüz Yıkama Jeli 150 Ml,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,10.11066,2021-02-17 23:40:14,2021-02-17 23:40:14
52362513,Bal Kabağı Maske,614,Maske & Peeling,Maske & Peeling,100172,Cilt Bakım,UNKNOWN,6.843609999999999,2021-02-17 10:00:17,2021-02-17 10:00:17
